Organisation,Date,Meeting,,CleanName,VideoLink,CouncillorOrg
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,,Watkins,,HDC
Hastings District Council,18/03/2019,Landmarks Advisory Group,,Schollum,,HDC
Hastings District Council,18/03/2019,Landmarks Advisory Group,,Dixon,,HDC
Hastings District Council,18/03/2019,Landmarks Advisory Group,,Travers,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Lyons,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Hazlehurst,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Barber,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Dixon,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Harvey,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Heaps,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Kerr,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Lawson,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Nixon,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,O’Keefe,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Poulain,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Redstone,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Schollum,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Travers,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,,Watkins,,HDC
Hastings District Council,12/03/2019,Council,,Hazlehurst,,HDC
Hastings District Council,12/03/2019,Council,,Barber,,HDC
Hastings District Council,12/03/2019,Council,,Dixon,,HDC
Hastings District Council,12/03/2019,Council,,Harvey,,HDC
Hastings District Council,12/03/2019,Council,,Heaps,,HDC
Hastings District Council,12/03/2019,Council,,Kerr,,HDC
Hastings District Council,12/03/2019,Council,,Lawson,,HDC
Hastings District Council,12/03/2019,Council,,Nixon,,HDC
Hastings District Council,12/03/2019,Council,,O’Keefe,,HDC
Hastings District Council,12/03/2019,Council,,Poulain,,HDC
Hastings District Council,12/03/2019,Council,,Redstone,,HDC
Hastings District Council,12/03/2019,Council,,Schollum,,HDC
Hastings District Council,12/03/2019,Council,,Travers,,HDC
Hastings District Council,12/03/2019,Council,,Watkins,,HDC
Hastings District Council,6/03/2019,HDC - Māori Joint Committee,,,,
Hastings District Council,6/03/2019,HDC - Māori Joint Committee,,Travers,,HDC
Hastings District Council,6/03/2019,HDC - Māori Joint Committee,,Barber,,HDC
Hastings District Council,6/03/2019,HDC - Māori Joint Committee,,Poulain,,HDC
Hastings District Council,6/03/2019,HDC - Māori Joint Committee Supplementary,,,,
Hastings District Council,5/03/2019,Council,,Hazlehurst,,HDC
Hastings District Council,5/03/2019,Council,,Barber,,HDC
Hastings District Council,5/03/2019,Council,,Dixon,,HDC
Hastings District Council,5/03/2019,Council,,Harvey,,HDC
